key,status,detail
"113.248255,34.025705",ok,ok   oid=662209400008518 n=1198 ra=113.2483 dec=34.0257
"200.738485,35.126750",ok,ok   oid=674212100007756 n=492 ra=200.7385 dec=35.1268
"8.439337,0.401278",ok,ok   oid=397215100007487 n=366 ra=8.4393 dec=0.4013
"203.177477,52.833512",ok,ok   oid=791202200000775 n=754 ra=203.1775 dec=52.8335
"255.252446,45.070838",ok,ok   oid=762202100020187 n=1989 ra=255.2524 dec=45.0708
"123.176007,26.406133",skip,skip ra=123.1760 dec=26.4061 (n=0)
"5.967706,18.637287",ok,ok   oid=551208100011223 n=666 ra=5.9677 dec=18.6373
"179.010734,24.927028",skip,skip ra=179.0107 dec=24.9270 (n=0)
"139.639569,38.858573",ok,ok   oid=710207400007776 n=912 ra=139.6396 dec=38.8586
"187.036925,45.071396",ok,ok   oid=755202100004967 n=571 ra=187.0369 dec=45.0714
"147.501230,59.851914",ok,ok   oid=817204200001162 n=868 ra=147.5012 dec=59.8519
"204.151064,-2.071294",ok,ok   oid=425212400003526 n=318 ra=204.1511 dec=-2.0713
"340.420974,27.016055",ok,ok   oid=1689201200011195 n=122 ra=340.4210 dec=27.0161
"153.836837,16.920375",ok,ok   oid=571202100000192 n=510 ra=153.8368 dec=16.9204
"199.234700,47.405178",ok,ok   oid=756205100009691 n=860 ra=199.2347 dec=47.4052
"129.108466,55.964508",skip,skip ra=129.1085 dec=55.9645 (n=64)
"357.739606,23.904038",ok,ok   oid=600204200002073 n=1127 ra=357.7396 dec=23.9040
"117.324016,40.094469",ok,ok   oid=707205200003032 n=1343 ra=117.3240 dec=40.0945
"209.209718,1.045627",ok,ok   oid=477204300006677 n=464 ra=209.2097 dec=1.0456
"147.164343,36.356775",ok,ok   oid=667215200005415 n=710 ra=147.1643 dec=36.3568
"192.387021,32.448444",ok,ok   oid=673208200006778 n=684 ra=192.3870 dec=32.4484
"153.360295,32.152652",ok,ok   oid=668208300002035 n=882 ra=153.3603 dec=32.1527
"124.694450,51.499140",ok,ok   oid=784203400004280 n=1006 ra=124.6945 dec=51.4991
"213.481991,64.751867",ok,ok   oid=821213400008708 n=795 ra=213.4820 dec=64.7519
"20.883766,28.180041",ok,ok   oid=603216400009404 n=616 ra=20.8838 dec=28.1800
"174.199038,19.442760",ok,ok   oid=574210300004826 n=350 ra=174.1990 dec=19.4428
"196.954742,12.239213",ok,ok   oid=526209400004014 n=364 ra=196.9547 dec=12.2392
"188.553062,37.536302",ok,ok   oid=716204300000841 n=512 ra=188.5531 dec=37.5363
"49.957193,-6.916453",ok,ok   oid=351213200006854 n=403 ra=49.9572 dec=-6.9165
"315.568851,10.818516",ok,ok   oid=543205200015782 n=785 ra=315.5689 dec=10.8185
"118.331285,13.260842",ok,ok   oid=516212200004165 n=928 ra=118.3313 dec=13.2608
"146.408651,2.514403",ok,ok   oid=467201200006216 n=618 ra=146.4087 dec=2.5144
"335.832613,19.734558",ok,ok   oid=597212300011546 n=1356 ra=335.8326 dec=19.7346
"352.900712,33.787731",ok,ok   oid=693210300007187 n=356 ra=352.9007 dec=33.7877
"138.613957,48.900210",ok,ok   oid=750210200004754 n=1085 ra=138.6140 dec=48.9002
"358.720861,27.008832",skip,skip ra=358.7209 dec=27.0088 (n=0)
"121.273390,23.536626",ok,ok   oid=616202200004933 n=681 ra=121.2734 dec=23.5366
"145.464590,61.850527",ok,ok   oid=816205200008030 n=861 ra=145.4646 dec=61.8505
"248.773000,53.663818",ok,ok   oid=795206400003043 n=1641 ra=248.7730 dec=53.6638
"123.725159,51.144925",ok,ok   oid=748213200001892 n=1172 ra=123.7252 dec=51.1449
"219.364732,42.702478",ok,ok   oid=719214400011687 n=216 ra=219.3647 dec=42.7025
"166.466247,24.172058",skip,skip ra=166.4662 dec=24.1721 (n=92)
"232.165498,46.034782",ok,ok   oid=760207300015115 n=1078 ra=232.1655 dec=46.0348
"192.959242,51.001124",ok,ok   oid=756215200003855 n=658 ra=192.9592 dec=51.0011
"30.621867,27.771040",ok,ok   oid=604211100002254 n=781 ra=30.6219 dec=27.7710
"198.004574,55.041286",ok,ok   oid=791212400007666 n=732 ra=198.0046 dec=55.0413
"224.585801,56.567874",skip,skip ra=224.5858 dec=56.5679 (n=0)
"158.336336,42.822648",ok,ok   oid=712214300004858 n=745 ra=158.3363 dec=42.8226
"228.619372,36.332771",ok,ok   oid=677214200006737 n=1143 ra=228.6194 dec=36.3328
"151.246522,26.191840",skip,skip ra=151.2465 dec=26.1918 (n=71)
"146.097700,37.306646",ok,ok   oid=711204400003105 n=839 ra=146.0977 dec=37.3066
"219.389464,40.491447",skip,skip ra=219.3895 dec=40.4914 (n=49)
"180.815508,-1.189901",ok,ok   oid=421209200002645 n=305 ra=180.8155 dec=-1.1899
"235.499969,42.926464",ok,ok   oid=721214300004391 n=1234 ra=235.5000 dec=42.9265
"138.696797,29.520995",ok,ok   oid=618213200002429 n=441 ra=138.6968 dec=29.5210
"182.823309,4.372867",ok,ok   oid=473208100001950 n=504 ra=182.8233 dec=4.3729
"358.475345,29.835670",ok,ok   oid=600216100008330 n=1033 ra=358.4753 dec=29.8357
"115.999666,32.164432",ok,ok   oid=663207300002209 n=991 ra=115.9997 dec=32.1644
"233.874354,38.335892",ok,ok   oid=721203200001822 n=1136 ra=233.8744 dec=38.3359
"237.601580,53.867655",ok,ok   oid=794206400000961 n=1163 ra=237.6016 dec=53.8677
"28.902179,27.496164",skip,skip ra=28.9022 dec=27.4962 (n=95)
"134.048926,34.134845",ok,ok   oid=665210300001408 n=673 ra=134.0489 dec=34.1348
"202.604616,14.608559",ok,ok   oid=527214400000115 n=243 ra=202.6046 dec=14.6086
"9.892730,12.269384",ok,ok   oid=500210400003233 n=521 ra=9.8927 dec=12.2694
"27.966682,28.978539",ok,ok   oid=1649208200007629 n=149 ra=27.9667 dec=28.9785
"240.375110,23.714987",ok,ok   oid=632203100025813 n=1003 ra=240.3751 dec=23.7150
"202.198468,32.271219",ok,ok   oid=674207300001204 n=525 ra=202.1985 dec=32.2712
"189.391861,-0.831358",ok,ok   oid=423212200006355 n=211 ra=189.3919 dec=-0.8314
"216.532149,34.073984",ok,ok   oid=676212400001702 n=941 ra=216.5321 dec=34.0740
"151.401733,8.935388",ok,ok   oid=520202100013765 n=512 ra=151.4017 dec=8.9354
"192.395691,46.355555",ok,ok   oid=756207300004714 n=613 ra=192.3957 dec=46.3556
"192.015897,12.468639",skip,skip ra=192.0159 dec=12.4686 (n=38)
"239.913247,20.441662",ok,ok   oid=583210100010590 n=1007 ra=239.9132 dec=20.4417
"310.502848,0.808031",ok,ok   oid=440216100005563 n=458 ra=310.5028 dec=0.8080
"174.918571,30.196672",ok,ok   oid=670201300002631 n=536 ra=174.9186 dec=30.1967
"141.552266,63.806030",ok,ok   oid=816210200000974 n=922 ra=141.5523 dec=63.8060
"336.930979,20.424705",ok,ok   oid=597212100004525 n=1443 ra=336.9310 dec=20.4247
"211.169339,43.335471",ok,ok   oid=718214400006684 n=764 ra=211.1693 dec=43.3355
"163.820332,11.610827",ok,ok   oid=522207200000468 n=406 ra=163.8203 dec=11.6108
"353.606986,11.895407",ok,ok   oid=549211300018186 n=481 ra=353.6070 dec=11.8954
"139.728905,28.287883",ok,ok   oid=619216300023204 n=590 ra=139.7289 dec=28.2879
"164.607239,47.493676",ok,ok   oid=753207200000967 n=737 ra=164.6072 dec=47.4937
"204.310998,65.708628",ok,ok   oid=844201400005045 n=873 ra=204.3110 dec=65.7086
"143.210738,6.358813",ok,ok   oid=467211200000145 n=584 ra=143.2107 dec=6.3588
"168.749518,25.892244",ok,ok   oid=622205200001491 n=422 ra=168.7495 dec=25.8922
"192.571598,34.774639",ok,ok   oid=672209100002989 n=643 ra=192.5716 dec=34.7746
"29.363180,-2.253387",ok,ok   oid=400211400006838 n=416 ra=29.3632 dec=-2.2534
"18.058111,25.282053",skip,skip ra=18.0581 dec=25.2821 (n=107)
"172.764446,45.955684",ok,ok   oid=754208400016194 n=457 ra=172.7644 dec=45.9557
"158.299250,25.381258",ok,ok   oid=621207100005302 n=567 ra=158.2993 dec=25.3813
"3.614502,31.153919",ok,ok   oid=648201200001298 n=868 ra=3.6145 dec=31.1539
"137.365877,48.498932",ok,ok   oid=750211400001688 n=1259 ra=137.3659 dec=48.4989
"189.715829,30.871263",ok,ok   oid=672202100004290 n=549 ra=189.7158 dec=30.8713
"193.534396,38.112140",ok,ok   oid=716202100002807 n=693 ra=193.5344 dec=38.1121
"22.641698,25.262543",ok,ok   oid=603207100008247 n=629 ra=22.6417 dec=25.2625
"255.709936,43.163026",ok,ok   oid=723213300002273 n=1605 ra=255.7099 dec=43.1630
"138.457206,17.040193",skip,skip ra=138.4572 dec=17.0402 (n=77)
"227.706869,9.390406",ok,ok   oid=531203200003673 n=750 ra=227.7069 dec=9.3904
"132.760562,36.408897",ok,ok   oid=665215100006051 n=678 ra=132.7606 dec=36.4089
"214.632077,44.827105",ok,ok   oid=758202300006305 n=1118 ra=214.6321 dec=44.8271
"327.587455,0.972816",ok,ok   oid=494204400008371 n=550 ra=327.5875 dec=0.9728
"34.325986,-0.917733",ok,ok   oid=401212100022962 n=386 ra=34.3260 dec=-0.9177
"330.223130,27.284215",ok,ok   oid=644211100022490 n=1145 ra=330.2231 dec=27.2842
"141.101341,-0.030873",ok,ok   oid=416215300002353 n=494 ra=141.1013 dec=-0.0309
"249.083635,42.587102",ok,ok   oid=723216400015863 n=1827 ra=249.0836 dec=42.5871
"172.771129,61.068103",ok,ok   oid=819208200006621 n=867 ra=172.7711 dec=61.0681
"177.593650,26.880035",ok,ok   oid=624212300010869 n=406 ra=177.5936 dec=26.8800
"162.257125,0.926131",ok,ok   oid=470204400005970 n=460 ra=162.2571 dec=0.9261
"328.669890,28.039947",skip,skip ra=328.6699 dec=28.0399 (n=100)
"178.522360,56.344665",ok,ok   oid=789211200003625 n=822 ra=178.5224 dec=56.3447
"224.706770,44.870528",ok,ok   oid=759202300000052 n=714 ra=224.7068 dec=44.8705
"121.578361,48.711769",ok,ok   oid=748210100006982 n=883 ra=121.5784 dec=48.7118
"351.635048,31.391582",skip,skip ra=351.6350 dec=31.3916 (n=116)
"143.936881,43.421317",ok,ok   oid=710213200012216 n=710 ra=143.9369 dec=43.4213
"205.442159,46.317859",ok,ok   oid=757206300003463 n=767 ra=205.4422 dec=46.3179
"177.340894,29.926799",ok,ok   oid=671204400004686 n=745 ra=177.3409 dec=29.9268
"353.320743,11.591008",ok,ok   oid=549207200000562 n=483 ra=353.3207 dec=11.5910
"244.271832,49.569008",ok,ok   oid=761210200000116 n=1033 ra=244.2718 dec=49.5690
"11.481310,33.380448",skip,skip ra=11.4813 dec=33.3804 (n=86)
"163.880994,27.040525",ok,ok   oid=622212400000505 n=501 ra=163.8810 dec=27.0405
"0.835326,31.920708",ok,ok   oid=648206300005205 n=937 ra=0.8353 dec=31.9207
"239.371526,19.035565",skip,skip ra=239.3715 dec=19.0356 (n=47)
"5.234356,4.483412",skip,skip ra=5.2344 dec=4.4834 (n=80)
"353.915682,-0.247932",ok,ok   oid=446215400004797 n=389 ra=353.9157 dec=-0.2479
"123.274669,37.332785",skip,skip ra=123.2747 dec=37.3328 (n=87)
"158.257361,47.252756",ok,ok   oid=752206200008561 n=1016 ra=158.2574 dec=47.2528
"142.120609,22.381504",skip,skip ra=142.1206 dec=22.3815 (n=76)
"0.076434,3.951014",skip,skip ra=0.0764 dec=3.9510 (n=91)
"35.228888,4.318025",ok,ok   oid=451205200001335 n=204 ra=35.2289 dec=4.3180
"222.943908,27.104559",ok,ok   oid=630212100007370 n=728 ra=222.9439 dec=27.1046
"165.706310,1.611322",ok,ok   oid=470202300018107 n=422 ra=165.7063 dec=1.6113
"246.161822,34.006559",ok,ok   oid=679209300003204 n=1516 ra=246.1618 dec=34.0066
"141.548636,33.132604",ok,ok   oid=666206200000972 n=822 ra=141.5486 dec=33.1326
"215.062417,46.378052",ok,ok   oid=758206300002838 n=1019 ra=215.0624 dec=46.3781
"333.464234,19.525252",ok,ok   oid=596210400006032 n=1343 ra=333.4642 dec=19.5253
"26.923330,30.979540",ok,ok   oid=651201200020699 n=1477 ra=26.9233 dec=30.9795
"184.549604,9.777431",ok,ok   oid=525208400021804 n=543 ra=184.5496 dec=9.7774
"163.104830,23.245185",ok,ok   oid=622204400008026 n=268 ra=163.1048 dec=23.2452
"191.331409,7.323049",skip,skip ra=191.3314 dec=7.3230 (n=99)
"117.376142,46.407555",ok,ok   oid=748207300003443 n=1086 ra=117.3761 dec=46.4076
"160.955633,47.815834",ok,ok   oid=752209300005726 n=1041 ra=160.9556 dec=47.8158
"213.287815,7.198007",ok,ok   oid=477214300002411 n=389 ra=213.2878 dec=7.1980
"234.052673,43.224261",skip,skip ra=234.0527 dec=43.2243 (n=0)
"162.739628,32.415377",ok,ok   oid=669207200008665 n=642 ra=162.7396 dec=32.4154
"161.847465,40.529454",skip,skip ra=161.8475 dec=40.5295 (n=72)
"196.423875,42.715995",ok,ok   oid=716213400005109 n=842 ra=196.4239 dec=42.7160
"153.310122,14.561757",ok,ok   oid=520213400000444 n=396 ra=153.3101 dec=14.5618
"128.777928,23.320760",ok,ok   oid=617202200013729 n=429 ra=128.7779 dec=23.3208
"146.195892,48.446319",ok,ok   oid=751211300002191 n=1103 ra=146.1959 dec=48.4463
"212.871699,46.605102",ok,ok   oid=758207300001576 n=1037 ra=212.8717 dec=46.6051
"217.219987,16.714777",ok,ok   oid=580202100001962 n=211 ra=217.2200 dec=16.7148
"215.990198,7.053758",ok,ok   oid=478216300003281 n=514 ra=215.9902 dec=7.0538
"142.352030,17.764790",ok,ok   oid=570208400002003 n=686 ra=142.3520 dec=17.7648
"238.717186,24.034593",ok,ok   oid=632204100008328 n=766 ra=238.7172 dec=24.0346
"21.097092,30.767542",ok,ok   oid=651204100005823 n=1297 ra=21.0971 dec=30.7675
"234.621699,47.746445",skip,skip ra=234.6217 dec=47.7464 (n=58)
"347.732592,28.220060",ok,ok   oid=646214400011745 n=1306 ra=347.7326 dec=28.2201
"163.648529,10.304544",ok,ok   oid=522207300005343 n=447 ra=163.6485 dec=10.3045
"174.463121,15.984789",ok,ok   oid=574202400000842 n=349 ra=174.4631 dec=15.9848
"28.036361,-0.158899",skip,skip ra=28.0364 dec=-0.1589 (n=80)
"1.338550,-9.229159",ok,ok   oid=395209400003445 n=264 ra=1.3385 dec=-9.2292
"232.423217,25.804443",ok,ok   oid=631207100010135 n=866 ra=232.4232 dec=25.8044
"153.585511,32.992198",skip,skip ra=153.5855 dec=32.9922 (n=82)
"350.240616,9.389863",ok,ok   oid=548201200003539 n=537 ra=350.2406 dec=9.3899
"3.480170,33.782854",ok,ok   oid=648209300011917 n=888 ra=3.4802 dec=33.7829
"253.442387,30.167645",ok,ok   oid=680201300004125 n=1662 ra=253.4424 dec=30.1676
"213.429057,63.797847",ok,ok   oid=822212200000394 n=856 ra=213.4291 dec=63.7978
"230.675423,27.206688",ok,ok   oid=631212100005964 n=730 ra=230.6754 dec=27.2067
"20.550844,35.102542",ok,ok   oid=651212100000018 n=303 ra=20.5508 dec=35.1025
"178.473119,-2.245790",ok,ok   oid=421210300004931 n=220 ra=178.4731 dec=-2.2458
"156.723587,25.261213",ok,ok   oid=621207200006370 n=670 ra=156.7236 dec=25.2612
"242.377196,41.783815",ok,ok   oid=722211200006467 n=1627 ra=242.3772 dec=41.7838
"357.820624,24.150874",skip,skip ra=357.8206 dec=24.1509 (n=115)
"146.776523,32.108612",ok,ok   oid=667208400017832 n=795 ra=146.7765 dec=32.1086
"15.848964,20.326971",skip,skip ra=15.8490 dec=20.3270 (n=23)
"185.592224,24.350166",ok,ok   oid=625208400007083 n=626 ra=185.5922 dec=24.3502
"195.772166,43.726573",ok,ok   oid=716213200004097 n=916 ra=195.7722 dec=43.7266
"255.298865,31.827852",ok,ok   oid=681208300007683 n=1698 ra=255.2989 dec=31.8279
"205.539159,47.221369",ok,ok   oid=757206200003534 n=745 ra=205.5392 dec=47.2214
"328.749610,-1.519082",ok,ok   oid=442209200007400 n=524 ra=328.7496 dec=-1.5191
"237.765303,41.312174",skip,skip ra=237.7653 dec=41.3122 (n=55)
"174.469578,5.567054",ok,ok   oid=471209200006129 n=321 ra=174.4696 dec=5.5671
"226.946674,24.574447",ok,ok   oid=630206400005661 n=128 ra=226.9467 dec=24.5744
"166.628560,54.003320",ok,ok   oid=788207200011991 n=696 ra=166.6286 dec=54.0033
"173.724542,22.452325",ok,ok   oid=623202300007480 n=620 ra=173.7245 dec=22.4523
"242.086503,56.232326",ok,ok   oid=795212100004702 n=1671 ra=242.0865 dec=56.2323
"10.578001,0.543628",skip,skip ra=10.5780 dec=0.5436 (n=0)
"204.135214,8.516663",ok,ok   oid=527201400003479 n=415 ra=204.1352 dec=8.5167
"348.074776,17.821524",ok,ok   oid=598206400001928 n=505 ra=348.0748 dec=17.8215
"235.027384,48.580908",ok,ok   oid=760210300001237 n=1221 ra=235.0274 dec=48.5809
"119.430839,17.340459",ok,ok   oid=566205300006370 n=802 ra=119.4308 dec=17.3405
"134.300398,39.255034",skip,skip ra=134.3004 dec=39.2550 (n=72)
"181.041452,36.433641",skip,skip ra=181.0415 dec=36.4336 (n=29)
"175.027679,50.672226",ok,ok   oid=754215100007704 n=561 ra=175.0277 dec=50.6722
"344.917031,18.516818",skip,skip ra=344.9170 dec=18.5168 (n=107)
"356.257990,11.983181",ok,ok   oid=549210400008450 n=514 ra=356.2580 dec=11.9832
"177.631326,37.751461",ok,ok   oid=714201200007188 n=544 ra=177.6313 dec=37.7515
"236.644471,39.965283",ok,ok   oid=721206100004550 n=1138 ra=236.6445 dec=39.9653
"22.411573,12.820690",ok,ok   oid=502211100008270 n=676 ra=22.4116 dec=12.8207
"135.756104,14.321564",ok,ok   oid=518215400002169 n=753 ra=135.7561 dec=14.3216
"221.186696,1.874139",ok,ok   oid=478202100006077 n=517 ra=221.1867 dec=1.8741
"122.752533,57.236805",ok,ok   oid=784215300004570 n=1091 ra=122.7525 dec=57.2368
"178.278615,25.013895",ok,ok   oid=624208400001628 n=464 ra=178.2786 dec=25.0139
"128.694454,35.847259",ok,ok   oid=664213300008991 n=588 ra=128.6945 dec=35.8473
"13.664068,17.848944",ok,ok   oid=552208400001291 n=577 ra=13.6641 dec=17.8489
"191.257778,57.226504",ok,ok   oid=790215400004640 n=657 ra=191.2578 dec=57.2265
"170.150431,26.536225",ok,ok   oid=623212300005400 n=779 ra=170.1504 dec=26.5362
"211.874940,3.931949",ok,ok   oid=477207100006499 n=302 ra=211.8749 dec=3.9319
"232.566941,18.246526",ok,ok   oid=582206100005364 n=789 ra=232.5669 dec=18.2465
"145.500827,35.538822",ok,ok   oid=666213400005128 n=822 ra=145.5008 dec=35.5388
"216.524843,5.207394",ok,ok   oid=478212300022781 n=377 ra=216.5248 dec=5.2074
"6.084764,23.376703",ok,ok   oid=601204100006990 n=1293 ra=6.0848 dec=23.3767
"223.007700,54.587637",ok,ok   oid=793207100002205 n=1061 ra=223.0077 dec=54.5876
"209.137841,59.926346",ok,ok   oid=821202100009430 n=774 ra=209.1378 dec=59.9263
"152.407619,37.398544",ok,ok   oid=711201300009007 n=911 ra=152.4076 dec=37.3985
"176.391525,38.423011",ok,ok   oid=714202100000927 n=624 ra=176.3915 dec=38.4230
"26.840662,22.657579",ok,ok   oid=603201400013958 n=624 ra=26.8407 dec=22.6576
"355.157468,18.714773",ok,ok   oid=599206100010480 n=778 ra=355.1575 dec=18.7148
"9.852088,35.878523",ok,ok   oid=649214400003611 n=959 ra=9.8521 dec=35.8785
"135.105939,34.924608",ok,ok   oid=665210100001710 n=780 ra=135.1059 dec=34.9246
"113.417711,27.262540",ok,ok   oid=615211100010026 n=1229 ra=113.4177 dec=27.2625
"201.660973,58.386113",ok,ok   oid=791215100002159 n=511 ra=201.6610 dec=58.3861
"250.694158,34.530441",ok,ok   oid=680211100013960 n=1642 ra=250.6942 dec=34.5304
"18.023670,6.714989",ok,ok   oid=449215300015052 n=591 ra=18.0237 dec=6.7150
"31.422959,28.586485",ok,ok   oid=604214300006085 n=763 ra=31.4230 dec=28.5865
"17.145079,-4.707725",ok,ok   oid=398202100008259 n=328 ra=17.1451 dec=-4.7077
"208.927475,60.794863",ok,ok   oid=821206400014150 n=806 ra=208.9275 dec=60.7949
"125.729744,25.553349",ok,ok   oid=617208100004117 n=487 ra=125.7297 dec=25.5533
"194.115057,1.670457",skip,skip ra=194.1151 dec=1.6705 (n=18)
"329.636678,19.334601",ok,ok   oid=596212400009389 n=1124 ra=329.6367 dec=19.3346
"138.104918,41.522522",skip,skip ra=138.1049 dec=41.5225 (n=8)
"30.669643,-0.244029",ok,ok   oid=400214300004923 n=358 ra=30.6696 dec=-0.2440
"172.177909,33.548198",ok,ok   oid=670211400008112 n=669 ra=172.1779 dec=33.5482
"333.764550,30.053654",ok,ok   oid=691204300005885 n=992 ra=333.7645 dec=30.0537
"227.443236,39.078851",ok,ok   oid=720206300004860 n=1024 ra=227.4432 dec=39.0789
"195.278263,43.832609",ok,ok   oid=716213200003315 n=995 ra=195.2783 dec=43.8326
"33.263201,-1.501490",ok,ok   oid=401212200007260 n=440 ra=33.2632 dec=-1.5015
"129.928662,47.948263",ok,ok   oid=749210300012369 n=1102 ra=129.9287 dec=47.9483
"328.400245,25.186145",ok,ok   oid=644208400013716 n=332 ra=328.4002 dec=25.1861
"252.200951,43.617926",ok,ok   oid=723215100006812 n=1745 ra=252.2010 dec=43.6179
"21.307645,19.001874",skip,skip ra=21.3076 dec=19.0019 (n=81)
"158.931310,27.104536",ok,ok   oid=621210300000051 n=339 ra=158.9313 dec=27.1045
"137.038063,44.694127",ok,ok   oid=750203300001415 n=1295 ra=137.0381 dec=44.6941
"145.550757,34.741895",ok,ok   oid=666209100003407 n=702 ra=145.5508 dec=34.7419
"219.460591,35.190598",skip,skip ra=219.4606 dec=35.1906 (n=39)
"353.431475,-9.520556",ok,ok   oid=394209300006806 n=335 ra=353.4315 dec=-9.5206
"15.262679,31.132608",ok,ok   oid=650203100002198 n=820 ra=15.2627 dec=31.1326
"157.791665,30.011146",ok,ok   oid=668202300009503 n=829 ra=157.7917 dec=30.0111
"335.643018,-1.401113",ok,ok   oid=443209200013573 n=499 ra=335.6430 dec=-1.4011
"216.217136,26.620873",ok,ok   oid=629212400004863 n=763 ra=216.2171 dec=26.6209
"222.974394,-2.072416",ok,ok   oid=427209300004510 n=557 ra=222.9744 dec=-2.0724
"117.863409,31.955902",ok,ok   oid=663206300004195 n=1128 ra=117.8634 dec=31.9559
"21.273717,-9.808282",skip,skip ra=21.2737 dec=-9.8083 (n=71)
"210.453565,-1.410782",ok,ok   oid=426212200005843 n=373 ra=210.4536 dec=-1.4108
"187.036172,34.189960",ok,ok   oid=672211300001121 n=640 ra=187.0362 dec=34.1900
"145.042110,18.441377",skip,skip ra=145.0421 dec=18.4414 (n=46)
"17.659782,29.998739",ok,ok   oid=650202400005655 n=634 ra=17.6598 dec=29.9987
"177.021088,4.692628",ok,ok   oid=472211300014084 n=317 ra=177.0211 dec=4.6926
"177.458640,-3.471331",ok,ok   oid=421207100021579 n=318 ra=177.4586 dec=-3.4713
"195.710748,42.018245",ok,ok   oid=716209200019556 n=622 ra=195.7107 dec=42.0182
"256.125578,46.687600",ok,ok   oid=762206400000801 n=1918 ra=256.1256 dec=46.6876
"347.978260,32.847004",ok,ok   oid=692205200004763 n=1225 ra=347.9783 dec=32.8470
"191.098931,33.667154",ok,ok   oid=672209300004836 n=341 ra=191.0989 dec=33.6672
"331.831891,12.347057",ok,ok   oid=546212400005009 n=1306 ra=331.8319 dec=12.3471
"122.329911,43.514033",ok,ok   oid=708215100012809 n=1078 ra=122.3299 dec=43.5140
"191.449007,41.726298",ok,ok   oid=716211100012561 n=934 ra=191.4490 dec=41.7263
"206.363712,57.047496",ok,ok   oid=791213300013487 n=684 ra=206.3637 dec=57.0475
"153.282149,62.179789",skip,skip ra=153.2821 dec=62.1798 (n=60)
"208.932118,47.674089",skip,skip ra=208.9321 dec=47.6741 (n=38)
"234.565491,5.566826",ok,ok   oid=480210100019143 n=660 ra=234.5655 dec=5.5668
"145.799884,20.548171",ok,ok   oid=570210200001783 n=730 ra=145.7999 dec=20.5482
"349.182723,18.694962",ok,ok   oid=598205200001652 n=665 ra=349.1827 dec=18.6950
"193.367564,37.075227",ok,ok   oid=716202300004480 n=884 ra=193.3676 dec=37.0752
"182.338068,34.517876",ok,ok   oid=671210100006355 n=580 ra=182.3381 dec=34.5179
"120.619405,9.986038",ok,ok   oid=516207400010296 n=650 ra=120.6194 dec=9.9860
"353.156292,29.486446",ok,ok   oid=647215100004376 n=1245 ra=353.1563 dec=29.4864
"184.985408,-1.356347",ok,ok   oid=422211100005888 n=300 ra=184.9854 dec=-1.3563
"222.513496,15.269898",ok,ok   oid=581203300007270 n=832 ra=222.5135 dec=15.2699
"189.938639,68.364697",ok,ok   oid=844208100015734 n=847 ra=189.9386 dec=68.3647
"167.882895,7.678557",ok,ok   oid=470213100004006 n=329 ra=167.8829 dec=7.6786
"1.601979,30.301018",ok,ok   oid=648202300001518 n=898 ra=1.6020 dec=30.3010
"228.909208,36.284058",ok,ok   oid=677214100006955 n=1176 ra=228.9092 dec=36.2841
"181.250668,42.502672",skip,skip ra=181.2507 dec=42.5027 (n=0)
"8.876661,13.765378",skip,skip ra=8.8767 dec=13.7654 (n=117)
"143.453173,60.897279",ok,ok   oid=816206400001511 n=938 ra=143.4532 dec=60.8973
"21.567273,-3.723227",ok,ok   oid=399207300007992 n=270 ra=21.5673 dec=-3.7232
"181.598048,31.557003",ok,ok   oid=671206400007536 n=549 ra=181.5980 dec=31.5570
"354.203259,-1.856520",ok,ok   oid=446211400001855 n=376 ra=354.2033 dec=-1.8565
"122.101831,14.680258",ok,ok   oid=516214200008919 n=980 ra=122.1018 dec=14.6803
"191.223499,23.140006",ok,ok   oid=625201300001124 n=445 ra=191.2235 dec=23.1400
"224.533361,31.506095",skip,skip ra=224.5334 dec=31.5061 (n=52)
"188.152187,67.358332",ok,ok   oid=844208300015513 n=710 ra=188.1522 dec=67.3583
"216.525805,40.408900",ok,ok   oid=719207200000411 n=982 ra=216.5258 dec=40.4089
"223.349487,7.785619",ok,ok   oid=479216200010020 n=557 ra=223.3495 dec=7.7856
"181.739041,16.173917",ok,ok   oid=575202100006781 n=318 ra=181.7390 dec=16.1739
"230.982948,23.516479",ok,ok   oid=631204100017240 n=636 ra=230.9829 dec=23.5165
"114.774805,15.960846",ok,ok   oid=566204400001600 n=610 ra=114.7748 dec=15.9608
"159.031630,0.959082",ok,ok   oid=469202400005491 n=424 ra=159.0316 dec=0.9591
"327.188606,24.122351",skip,skip ra=327.1886 dec=24.1224 (n=74)
"239.497208,22.139768",ok,ok   oid=583214100004434 n=923 ra=239.4972 dec=22.1398
"217.337434,-3.155791",ok,ok   oid=427208200004109 n=538 ra=217.3374 dec=-3.1558
"11.590240,20.757157",ok,ok   oid=1597205300008535 n=127 ra=11.5902 dec=20.7572
"210.550434,57.868710",ok,ok   oid=792215200006986 n=1053 ra=210.5504 dec=57.8687
"191.083183,40.860229",ok,ok   oid=716211400007417 n=927 ra=191.0832 dec=40.8602
"261.495578,26.531172",ok,ok   oid=635211300008690 n=1571 ra=261.4956 dec=26.5312
"208.490540,56.872316",ok,ok   oid=791213400005566 n=818 ra=208.4905 dec=56.8723
"200.650003,-0.820097",ok,ok   oid=424210100000003 n=264 ra=200.6500 dec=-0.8201
"188.375086,49.380647",skip,skip ra=188.3751 dec=49.3806 (n=0)
"36.582032,3.353447",ok,ok   oid=451205400002326 n=535 ra=36.5820 dec=3.3534
